population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
sun_exposed,sun_exposedA,sun_exposedA4,0B,no,3.71,0.87,23.3,0,3,1,32,67,124,0.2113
sun_exposed,sun_exposedA,sun_exposedA4,0B,no,3.71,0.87,23.3,0,3,2,27,83,167,0.2063
sun_exposed,sun_exposedA,sun_exposedA5,0B,no,3.87,0.78,24.3,0,2,1,8,36,73,0.1177
sun_exposed,sun_exposedA,sun_exposedA5,0B,no,3.87,0.78,24.3,0,2,2,20,44,88,0.2554
sun_exposed,sun_exposedA,sun_exposedA6,0B,no,3.64,1.35,24.5,0,2,1,14,43,76,0.4029
sun_exposed,sun_exposedA,sun_exposedA6,0B,no,3.64,1.35,24.5,0,2,2,35,106,165,0.3192
sun_exposed,sun_exposedA,sun_exposedA7,0B,no,2.87,1.08,23.5,0,1,1,1200,1200,1200,0.0762999999999999
sun_exposed,sun_exposedA,sun_exposedA7,0B,no,2.87,1.08,23.5,0,1,2,75,248,416,0.1143
sun_exposed,sun_exposedA,sun_exposedA8,0B,no,4.27,1.3,25.2,0,3,1,21,62,470,0.2921
sun_exposed,sun_exposedA,sun_exposedA8,0B,no,4.27,1.3,25.2,0,3,2,22,91,484,0.2813
sun_exposed,sun_exposedA,sun_exposedA9,0B,no,3.44,1.17,25.6,0,3,1,10,42,87,0.4216
sun_exposed,sun_exposedA,sun_exposedA9,0B,no,3.44,1.17,25.6,0,3,2,15,61,98,0.1988
sun_exposed,sun_exposedB,sun_exposedB1,0B,no,3.35,1.09,22.8,0,2,1,26,64,102,0.2221
sun_exposed,sun_exposedB,sun_exposedB1,0B,no,3.35,1.09,22.8,0,2,2,141,201,251,0.1843
sun_exposed,sun_exposedB,sun_exposedB2,0B,no,3.87,1.04,22,0,1,1,30,40,83,0.1355
sun_exposed,sun_exposedB,sun_exposedB2,0B,no,3.87,1.04,22,0,1,2,344,410,504,0
sun_exposed,sun_exposedB,sun_exposedB3,0B,no,3.75,1.11,23.3,0,2,1,10,68,100,0.0253
sun_exposed,sun_exposedB,sun_exposedB3,0B,no,3.75,1.11,23.3,0,2,2,18,103,224,0.182
sun_exposed,sun_exposedB,sun_exposedB4,0B,no,4.52,1.31,24.2,0,3,1,33,73,167,0.2341
sun_exposed,sun_exposedB,sun_exposedB4,0B,no,4.52,1.31,24.2,0,3,2,19,56,94,0.1476
sun_exposed,sun_exposedB,sun_exposedB5,0B,no,3.04,0.97,22.7,0,1,1,92,414,453,0.1439
sun_exposed,sun_exposedB,sun_exposedB5,0B,no,3.04,0.97,22.7,0,1,2,12,45,78,0.2434
sun_exposed,sun_exposedB,sun_exposedB6,0B,no,4.11,0.9,24.8,0,1,1,16,42,82,0.3551
sun_exposed,sun_exposedB,sun_exposedB6,0B,no,4.11,0.9,24.8,0,1,2,20,50,81,0.1563
sun_exposed,sun_exposedB,sun_exposedB7,0B,no,3,0.86,22.7,0,3,1,18,46,87,0.0178999999999999
sun_exposed,sun_exposedB,sun_exposedB7,0B,no,3,0.86,22.7,0,3,2,18,49,91,0.2089
sun_exposed,sun_exposedB,sun_exposedB8,0B,no,3.7,1.15,23.3,0,3,1,72,319,1200,0.1371
sun_exposed,sun_exposedB,sun_exposedB8,0B,no,3.7,1.15,23.3,0,3,2,140,1200,1200,0.00319999999999998
sun_exposed,sun_exposedB,sun_exposedB9,0B,no,3.22,0.75,21.6,0,1,1,36,67,127,0.2023
sun_exposed,sun_exposedB,sun_exposedB9,0B,no,3.22,0.75,21.6,0,1,2,14,88,148,0.1937
sun_exposed,sun_exposedC,sun_exposedC1,0B,no,3.95,1.49,25.2,0,2,1,26,74,140,0.0910000000000001
sun_exposed,sun_exposedC,sun_exposedC1,0B,no,3.95,1.49,25.2,0,2,2,19,62,109,0.1021
sun_exposed,sun_exposedC,sun_exposedC2,0B,no,3.86,1.39,25.1,0,3,1,1200,1200,1200,0.2253
sun_exposed,sun_exposedC,sun_exposedC2,0B,no,3.86,1.39,25.1,0,3,2,1200,1200,1200,5.00000000000056e-4
sun_exposed,sun_exposedC,sun_exposedC3,0B,no,3.94,1.03,23.6,0,2,1,22,59,145,0.1908
sun_exposed,sun_exposedC,sun_exposedC3,0B,no,3.94,1.03,23.6,0,2,2,38,129,354,0.257
sun_exposed,sun_exposedC,sun_exposedC4,0B,no,2.34,0.71,21.2,0,1,1,51,178,307,0.3026
sun_exposed,sun_exposedC,sun_exposedC4,0B,no,2.34,0.71,21.2,0,1,2,23,58,114,0.2373
sun_exposed,sun_exposedC,sun_exposedC5,0B,no,3.35,1.06,21.6,1,3,1,1200,1200,1200,0.0163000000000001
sun_exposed,sun_exposedC,sun_exposedC5,0B,no,3.35,1.06,21.6,1,3,2,1200,1200,1200,0
sun_exposed,sun_exposedC,sun_exposedC7,0B,no,3.4,1.18,24.9,0,2,1,1200,1200,1200,0.0933
sun_exposed,sun_exposedC,sun_exposedC7,0B,no,3.4,1.18,24.9,0,2,2,1200,1200,1200,0.0511
sun_exposed,sun_exposedC,sun_exposedC8,0B,no,3.24,1.07,22.9,0,1,1,19,46,103,0.2163
sun_exposed,sun_exposedC,sun_exposedC8,0B,no,3.24,1.07,22.9,0,1,2,23,59,150,0.2103
sun_exposed,sun_exposedC,sun_exposedC9,0B,no,1.77,0.59,21.3,0,2,1,23,63,111,0.0753
sun_exposed,sun_exposedC,sun_exposedC9,0B,no,1.77,0.59,21.3,0,2,2,1200,1200,1200,0.0422999999999999
sun_exposed,sun_exposedD,sun_exposedD1,0B,no,3.52,0.87,22,0,3,1,369,1200,1200,0
sun_exposed,sun_exposedD,sun_exposedD1,0B,no,3.52,0.87,22,0,3,2,1200,1200,1200,0.00179999999999991
sun_exposed,sun_exposedD,sun_exposedD2,0B,no,2.74,0.86,20.4,0,1,1,26,56,119,0.1145
sun_exposed,sun_exposedD,sun_exposedD2,0B,no,2.74,0.86,20.4,0,1,2,29,68,240,0.1721
sun_exposed,sun_exposedD,sun_exposedD3,0B,no,2.71,0.76,22.3,0,1,1,27,58,117,0.2032
sun_exposed,sun_exposedD,sun_exposedD3,0B,no,2.71,0.76,22.3,0,1,2,19,58,106,1.0688
sun_exposed,sun_exposedD,sun_exposedD4,3B,no,3.56,1.24,22.7,0,2,1,27,64,116,0.3799
sun_exposed,sun_exposedD,sun_exposedD4,3B,no,3.56,1.24,22.7,0,2,2,21,60,113,0.2629
sun_exposed,sun_exposedD,sun_exposedD5,3B,no,4.96,1.75,26.1,0,3,1,12,50,80,0.2164
sun_exposed,sun_exposedD,sun_exposedD5,3B,no,4.96,1.75,26.1,0,3,2,32,65,103,0.1341
sun_exposed,sun_exposedD,sun_exposedD6,3B,no,4.37,1.11,24.9,0,2,1,17,163,391,0.3734
sun_exposed,sun_exposedD,sun_exposedD6,3B,no,4.37,1.11,24.9,0,2,2,15,43,94,0.1874
sun_exposed,sun_exposedD,sun_exposedD7,3B,yes,2.71,0.92,23.1,0,1,1,15,86,106,0.191
sun_exposed,sun_exposedD,sun_exposedD7,3B,yes,2.71,0.92,23.1,0,1,2,20,57,113,0.2453
sun_exposed,sun_exposedD,sun_exposedD8,3B,no,3.91,1.21,24,0,3,1,38,92,240,0.2542
sun_exposed,sun_exposedD,sun_exposedD8,3B,no,3.91,1.21,24,0,3,2,19,78,129,0.3518
sun_exposed,sun_exposedD,sun_exposedD9,3B,no,4.25,1.55,25.4,0,3,1,127,201,301,0.1355
