population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,Nematode_white_encaps,Nematode_dark_encaps,Acari_encaps,Nematode_0_1_free,Nematode_1_3_free,Nematode_3_5_free,Nematode_5_plus_free,Nematode_1_3_lung,Nematode_3_5_lung,Nematode_5_plus_lung,Acari_kidney,Acari_digestive,Trematode_kidney
sun_exposed,sun_exposedJ,sun_exposedJ3,3B,no,3.59,1.25,23.1,0,1,2,6,0,0,4,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedJ,sun_exposedJ4,3B,no,3.72,1.02,23.6,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ5,3B,no,5.13,1.5,24.6,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ6,3B,no,4.45,1.18,24.7,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ7,5B,yes,4.12,1.61,24.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ8,5B,no,4.63,1.39,25.7,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ9,5B,yes,4.17,1.41,23.9,0,2,5,34,0,0,1,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK1,5B,no,3.2,0.92,22.7,0,2,0,4,0,2,1,0,1,0,1,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK2,5B,no,3.77,0.97,25.1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK3,5B,yes,3.49,1.01,23.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedK,sun_exposedK4,5B,no,3.83,0.94,23,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK5,5B,yes,2.3,0.72,22.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK6,5B,no,3.98,1.04,25.3,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK7,5B,no,5.16,1.3,25.8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedK,sun_exposedK8,5B,no,2.74,0.76,21.6,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedK,sun_exposedK9,5B,no,3.48,1.02,24,0,3,0,1,0,0,16,0,0,0,3,5,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ1,5B,yes,4.02,0.79,24.2,0,1,6,15,0,0,0,0,0,1,0,0,0,0,9
sun_exposed,sun_exposedQ,sun_exposedQ2,5B,no,3.19,1.09,22.8,0,1,3,2,0,2,3,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ3,5B,no,2.71,0.89,22.4,0,3,1,0,0,0,5,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedQ,sun_exposedQ4,5B,yes,2.94,0.76,24.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ5,5B,yes,3.24,0.94,23.4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ6,5B,no,3.75,1.07,23.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ7,5B,no,4.86,1.27,24.5,0,3,6,10,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ8,5B,no,3.36,1.05,23.5,0,2,18,13,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedQ,sun_exposedQ9,5B,no,4.51,1.2,25.3,0,3,3,74,0,0,0,0,0,0,0,0,0,0,3
sun_exposed,sun_exposedX,sun_exposedX1,5B,no,3.01,0.82,22.6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX2,5B,no,4.06,1.41,24.6,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX3,5B,no,4.24,1.1,23.9,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX4,5B,no,3.07,0.98,23.2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX5,5B,no,3.39,0.79,23.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX6,5B,yes,2.64,0.86,23.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX7,5B,yes,5.55,1.79,27.9,0,1,7,14,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX8,5B,yes,2.19,0.59,22.5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedX,sun_exposedX9,5B,yes,1.92,0.42,21.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedZ,sun_exposedZ1,0B,no,5.58,1.4,25,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0
